
1,І,ВОЭ (Винницаоблєнерго)
2,ІІ,СОЭ (Сумыоблєнерго)
3,ІІІ,ЛЭО (Луганское Энергетическое Объединение)
4,ІV,ПОЭ (Полтаваоблэнерго)
5,V,СГС (Севастопольская Генерационная система)
6,VI,ЦЭК (Центральная Энергетическая компания)
7,VII,ЧОЭ (Черниговоблэнерго)
10,XXX,Енерджи консалтинг
